,Date,Attack Type,Target,Acute Effect,Latent Effect,Fight Context,Continent,Weapon Type,Fight Ended,Mortality
1050,1854.0,Cut,Head,Incapacitation,Incapacitation,Foot vs Horse,Europe,Sword_cutting,True,False
1051,1854.0,Cut,Head,Incapacitation,Incapacitation,Foot vs Horse,Europe,Sword_cutting,True,False
1052,1854.0,Cut,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
1053,1854.0,Strike,Head,Ineffective,Ineffective,Horse,Europe,Club,False,False
1054,1854.0,Cut,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
1055,1854.0,Cut,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
1056,1854.0,Cut,Hand,Incapacitation,Incapacitation,Foot vs Horse,Europe,Sword_cutting,True,False
1057,1854.0,Cut,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
1058,1854.0,Thrust,Torso,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
1059,1854.0,Thrust,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
1060,1854.0,Cut,Head,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
1061,1854.0,Cut,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
1062,1854.0,Thrust,Hand,Ineffective,Ineffective,Horse,Europe,Polearm,False,False
1063,1854.0,Thrust,Arm,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
1064,1854.0,unspecified,Arm,Ineffective,Ineffective,Foot vs Horse,Europe,Sword_cutting,False,False
1065,1854.0,Cut,Head,Death,,Foot vs Horse,Europe,Sword_cutting,True,True
1066,1854.0,unspecified,Leg,Ineffective,Ineffective,Foot vs Horse,Europe,Sword_cutting,False,False
1067,1854.0,Thrust,Torso,Ineffective,Ineffective,Foot vs Horse,Europe,Sword_cutting,False,False
1068,1854.0,Thrust,Torso,Ineffective,Ineffective,Foot vs Horse,Europe,Sword_cutting,False,False
1069,1854.0,Thrust,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
1070,1854.0,Thrust,Torso,Incapacitation,Incapacitation,Horse,Europe,Polearm,True,False
1071,1854.0,Cut,Head,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
